drink_id,ingredient_name,quantity,is_allergen
177,Galliano,1/2 oz,f
177,Orange juice,4 oz,f
178,Gin,2 oz,f
178,Triple sec,1/2 oz,f
178,Pineapple juice,1 tblsp,f
179,Rum,12 parts,f
179,Grapefruit Juice,8 parts,f
179,Maraschino Liqueur,3 parts,f
179,Lime Juice,3 parts,f
180,Scotch,1 1/2 oz,f
180,Sweet Vermouth,3/4 oz,f
180,Orange bitters,2 dashes,f
180,Olive,1,f
181,Chocolate,12 oz fine,f
181,Butter,1 tsp,f
181,Vanilla extract,1/2 tsp,f
181,Half-and-half,1 cup,f
181,Marshmallows,mini,f
182,Lime,½,f
182,Brown sugar,2 tsp,f
182,Passion fruit juice,4 cl,f
182,Ginger ale,top up with,f
182,Ice,fill,f
183,Vodka,1 1/2 oz,f
183,Iced tea,6 oz,f
183,Lemon juice,to taste,f
184,Coffee,1/4 cup instant,f
184,Sugar,1/4 cup,f
184,Water,1/4 cup hot,f
184,Milk,4 cups cold,f
185,Scotch,1 cup,f
185,Half-and-half,1 1/4 cup,f
185,Condensed milk,1 can sweetened,f
185,Coconut syrup,3 drops,f
185,Chocolate syrup,1 tblsp,f
186,Irish whiskey,1 1/2 oz,f
186,Coffee,8 oz,f
186,Sugar,1 tsp,f
186,Whipped cream,1 tblsp,f
187,Irish whiskey,1 oz,f
187,Peach brandy,1/2 oz,f
187,Orange juice,1 oz,f
187,Sweet and sour,1 oz,f
187,Orange,1 slice,f
187,Cherry,1,f
188,Light rum,1/2 oz,f
188,Blended whiskey,1 1/2 oz,f
188,Lemon,Juice of 1/2,f
188,Powdered sugar,1 tsp,f
188,Carbonated water,,f
189,Vodka,1 shot,f
189,Kahlua,1 shot,f
189,Coca-Cola,1 dash,f
189,Guinness stout,Fill with,f
190,Lime juice,4 cl,f
190,Gin,2 cl,f
190,Aperol,4 cl,f
191,Kahlua,2 tsp,f
191,Coffee,Strong cold,f
192,Baileys irish cream,3/4 oz,f
192,Bourbon,3/4 oz,f
192,Vodka,3/4 oz,f
192,Orange juice,2-3 oz,f
193,Baileys irish cream,2/3 oz,f
193,Chambord raspberry liqueur,1/3 oz,f
193,Sugar syrup,1 tsp,f
193,Sugar,2 pinches,f
194,Gin,2 jiggers,f
194,Vodka,1 jigger,f
194,Grenadine,3 dashes,f
194,Lime juice,1 shot,f
194,Sugar,Around rim put 1 pinch,f
194,Sugar syrup,3 dashes,f
194,Soda water,Fill to top with,f
